"person_id","distance","timestamp"
1,130,2025-12-10 09:13:51.801617
2,99,2025-12-10 09:14:01.523708
3,79,2025-12-10 09:14:02.992366
4,128,2025-12-10 09:15:42.585742
5,82,2025-12-10 09:15:44.284859
6,88,2025-12-10 09:16:26.794989
7,66,2025-12-10 09:16:40.372622
8,152,2025-12-10 09:17:58.099808
9,78,2025-12-10 09:18:02.167012
10,101,2025-12-10 09:18:09.592588
11,149,2025-12-10 09:19:12.488355
12,98,2025-12-10 09:24:08.985176
13,137,2025-12-10 09:24:09.207319
14,145,2025-12-10 09:32:43.681211
15,127,2025-12-10 09:32:46.116787
