"KVARTAL","Forbrugertillidsindikator","F10 Anskaffelse af større forbrugsgoder, inden for de næste 12 mdr.","F2 Familiens økonomiske situation i dag, sammenlignet med for et år siden","F4 Danmarks økonomiske situation i dag, sammenlignet med for et år siden","F9 Anskaffelse af større forbrugsgoder, fordelagtigt for øjeblikket","Year","Quarter","Forbrug","realvækst"
"1996K1",3.33333333333333,-5,9,6.33333333333333,3,1996,1,194.8,NA
"1996K2",2.16666666666667,-4.66666666666667,10.3333333333333,-0.666666666666667,3.66666666666667,1996,2,194.4,NA
"1996K3",2.08333333333333,-6.66666666666667,10.6666666666667,0.333333333333333,4,1996,3,194.3,NA
"1996K4",1.5,-6.66666666666667,10,1.66666666666667,1,1996,4,194.8,NA
"1997K1",5.25,-4.33333333333333,8.33333333333333,11,6,1997,1,197.7,1.48870636550307
"1997K2",6.08333333333333,-6.33333333333333,11.3333333333333,13.3333333333333,6,1997,2,201.1,3.44650205761317
"1997K3",6.83333333333333,-6.33333333333333,11.6666666666667,16,6,1997,3,197.3,1.54400411734432
"1997K4",4.08333333333333,-6.33333333333333,9.33333333333333,12.6666666666667,0.666666666666667,1997,4,204,4.72279260780286
"1998K1",6.16666666666667,-5,10.3333333333333,14,5.33333333333333,1998,1,202.4,2.37733940313607
"1998K2",4.58333333333333,-4,11.6666666666667,10.3333333333333,0.333333333333333,1998,2,203.7,1.29288910989558
"1998K3",-3.08333333333333,-8.33333333333333,8.66666666666667,-6.33333333333333,-6.33333333333333,1998,3,205.7,4.25747592498731
"1998K4",-7.08333333333333,-9,6.66666666666667,-18.3333333333333,-7.66666666666667,1998,4,208.7,2.30392156862744
"1999K1",-6.5,-7,5,-17,-7,1999,1,206,1.7786561264822
"1999K2",-3.91666666666667,-5.66666666666667,7.33333333333333,-11.6666666666667,-5.66666666666667,1999,2,203.3,-0.196367206676473
"1999K3",-1.91666666666667,-7.66666666666667,9,-4,-5,1999,3,205.1,-0.291686922702961
"1999K4",-4.83333333333333,-6.33333333333333,5.33333333333333,-4.33333333333333,-14,1999,4,205.2,-1.67704839482511
"2000K1",-3.66666666666667,-7.33333333333333,2.33333333333333,-3.33333333333333,-6.33333333333333,2000,1,205.4,-0.291262135922332
"2000K2",0.25,-6.33333333333333,7.33333333333333,2,-2,2000,2,206,1.32808657156911
"2000K3",-2.08333333333333,-8.33333333333333,6.33333333333333,1.66666666666667,-8,2000,3,206.1,0.487567040468062
"2000K4",-1.25,-8.66666666666667,4.66666666666667,-0.666666666666667,-0.333333333333333,2000,4,205,-0.0974658869395628
"2001K1",-2.25,-7.33333333333333,4.33333333333333,0,-6,2001,1,205.9,0.24342745861734
"2001K2",-3.08333333333333,-6.33333333333333,5.66666666666667,-5.66666666666667,-6,2001,2,208.2,1.06796116504855
"2001K3",-3.16666666666667,-3.66666666666667,6,-3.33333333333333,-11.6666666666667,2001,3,207.1,0.485201358563803
"2001K4",-6.58333333333333,-7,8.66666666666667,-4.33333333333333,-23.6666666666667,2001,4,205.5,0.24390243902439
"2002K1",-3.66666666666667,-4.33333333333333,6,-2,-14.3333333333333,2002,1,208.7,1.35988343856239
"2002K2",-1.58333333333333,-4,8.33333333333333,-3.33333333333333,-7.33333333333333,2002,2,208.2,0
"2002K3",-3.66666666666667,-6.66666666666667,6,-5.33333333333333,-8.66666666666667,2002,3,210.9,1.83486238532111
"2002K4",-4.33333333333333,-6,5,-7.33333333333333,-9,2002,4,211,2.676399026764
"2003K1",-3.25,-6.66666666666667,4.66666666666667,-10.3333333333333,-0.666666666666667,2003,1,209.2,0.239578342117874
"2003K2",-4.08333333333333,-6,7.66666666666667,-12.3333333333333,-5.66666666666667,2003,2,210.9,1.29682997118157
"2003K3",-3.66666666666667,-5.66666666666667,6,-7.33333333333333,-7.66666666666667,2003,3,213,0.995732574679931
"2003K4",-2.58333333333333,-3.66666666666667,5.66666666666667,-8,-4.33333333333333,2003,4,216.6,2.65402843601896
"2004K1",-1.75,-3,7,-4.33333333333333,-6.66666666666667,2004,1,217.5,3.96749521988529
"2004K2",3.33333333333333,-0.333333333333333,12.3333333333333,7,-5.66666666666667,2004,2,219,3.84068278805121
"2004K3",4.33333333333333,-2.33333333333333,13.3333333333333,9.33333333333333,-3,2004,3,223.9,5.11737089201878
"2004K4",4.33333333333333,-0.666666666666667,12.3333333333333,10,-4.33333333333333,2004,4,230.5,6.41735918744228
"2005K1",4.59166666666667,-0.7,12.7,12.2666666666667,-5.9,2005,1,226.2,4
"2005K2",3.51666666666667,-1.03333333333333,11,13.4666666666667,-9.36666666666667,2005,2,231.5,5.70776255707763
"2005K3",7.14166666666667,-0.966666666666667,12.5666666666667,19.6,-2.63333333333333,2005,3,234.3,4.64493077266637
"2005K4",6.91666666666667,-1.43333333333333,13.1666666666667,21,-5.06666666666667,2005,4,233.4,1.25813449023862
"2006K1",10.4916666666667,4,13.7,24.3,-0.0333333333333333,2006,1,237.9,5.17241379310345
"2006K2",8.94166666666667,2.5,14.5,23.5333333333333,-4.76666666666667,2006,2,240,3.67170626349893
"2006K3",7.125,-1.43333333333333,13.9,23.9,-7.86666666666667,2006,3,235.3,0.426803243704654
"2006K4",6.83333333333333,0.966666666666667,14.2,22.7666666666667,-10.6,2006,4,237.9,1.9280205655527
"2007K1",6.60833333333333,-0.7,12.4666666666667,23.4,-8.73333333333333,2007,1,240.3,1.00882723833544
"2007K2",5.93333333333333,1.6,12.8,17.4333333333333,-8.1,2007,2,240.2,0.0833333333333242
"2007K3",2.91666666666667,-1.76666666666667,13.1,13.3,-12.9666666666667,2007,3,242.8,3.18742031449213
"2007K4",1.24166666666667,-2.8,8.66666666666667,10.4333333333333,-11.3333333333333,2007,4,246,3.4047919293821
"2008K1",-3.18333333333333,-2.1,4.4,-1.26666666666667,-13.7666666666667,2008,1,246.1,2.41364960466084
"2008K2",-5.725,-4.73333333333333,6.76666666666667,-7.6,-17.3333333333333,2008,2,247.2,2.9142381348876
"2008K3",-12.9416666666667,-8.1,3.76666666666667,-21.5,-25.9333333333333,2008,3,243.6,0.329489291598017
"2008K4",-20.425,-9.9,0.1,-39.1,-32.8,2008,4,234.3,-4.7560975609756
"2009K1",-18.25,-9.56666666666667,0.766666666666667,-47.8333333333333,-16.3666666666667,2009,1,232.2,-5.64811052417716
"2009K2",-14.2083333333333,-6.36666666666667,0.5,-44.1333333333333,-6.83333333333333,2009,2,234.8,-5.01618122977345
"2009K3",-13.425,-8.83333333333333,-0.2,-40.4,-4.26666666666667,2009,3,235.1,-3.48932676518884
"2009K4",-12.8916666666667,-10.5,-0.6,-35.4,-5.06666666666667,2009,4,234.1,-0.0853606487409397
"2010K1",-8.79166666666667,-5.8,0.6,-25,-4.96666666666667,2010,1,237.7,2.36864771748493
"2010K2",-5.975,-4.26666666666667,1.76666666666667,-16.0333333333333,-5.36666666666667,2010,2,235.7,0.383304940374773
"2010K3",-3.65833333333333,-4.53333333333333,1.8,-6.63333333333333,-5.26666666666667,2010,3,236.9,0.765631646108034
"2010K4",-6.06666666666667,-5.93333333333333,0.6,-11.1333333333333,-7.8,2010,4,238.2,1.75138829560018
"2011K1",-5.375,-5.13333333333333,0.366666666666667,-7.76666666666667,-8.96666666666667,2011,1,235.2,-1.05174589819099
"2011K2",-4.06666666666667,-4.16666666666667,0.0666666666666667,-2.26666666666667,-9.9,2011,2,238.2,1.0606703436572
"2011K3",-7.525,-5.93333333333333,-1.33333333333333,-13.6666666666667,-9.16666666666667,2011,3,238.6,0.717602363866598
"2011K4",-11.675,-9.13333333333333,-4.56666666666667,-22.0333333333333,-10.9666666666667,2011,4,238.8,0.251889168765751
"2012K1",-9.8,-8.4,-3.7,-18.4,-8.7,2012,1,237.4,0.935374149659873
"2012K2",-6.80833333333333,-6.63333333333333,-3.6,-6.96666666666667,-10.0333333333333,2012,2,238.5,0.125944584382887
"2012K3",-5.78333333333333,-6.3,0.266666666666667,-10.5666666666667,-6.53333333333333,2012,3,238.1,-0.209555741827328
"2012K4",-9.41666666666667,-7.2,-4.3,-14.5333333333333,-11.6333333333333,2012,4,240.2,0.586264656616398
"2013K1",-8.175,-7.6,-2.5,-10.9,-11.7,2013,1,241.7,1.8112889637742
"2013K2",-6.65833333333333,-4.86666666666667,-1.76666666666667,-6.33333333333333,-13.6666666666667,2013,2,242.3,1.59329140461217
"2013K3",-2.18333333333333,-5.86666666666667,-0.366666666666667,4.73333333333333,-7.23333333333333,2013,3,242.3,1.76396472070559
"2013K4",-3.025,-5.2,-1.13333333333333,5.93333333333333,-11.7,2013,4,242.2,0.832639467110741
"2014K1",-1.89166666666667,-5.9,-0.833333333333333,7.9,-8.73333333333333,2014,1,239.5,-0.910219280099289
"2014K2",0.383333333333333,-4.96666666666667,1.03333333333333,11.7,-6.23333333333333,2014,2,241.4,-0.371440363186137
"2014K3",2.05833333333333,-3.73333333333333,3.3,15.3666666666667,-6.7,2014,3,242.2,-0.0412711514651387
"2014K4",0.341666666666667,-4.46666666666667,4.36666666666667,11.4666666666667,-10,2014,4,243.2,0.41288191577209
"2015K1",4.03333333333333,-3.06666666666667,6.03333333333333,15.3333333333333,-2.16666666666667,2015,1,242.4,1.21085594989563
"2015K2",4.80833333333333,-3.36666666666667,5.13333333333333,20.1333333333333,-2.66666666666667,2015,2,244.5,1.28417564208783
"2015K3",2.8,-3.56666666666667,5.76666666666667,15.4666666666667,-6.46666666666667,2015,3,248.7,2.68373245251858
"2015K4",0.45,-4.76666666666667,5.33333333333333,9.83333333333333,-8.6,2015,4,249.8,2.71381578947369
"2016K1",0.608333333333333,-5.2,4.73333333333333,8.5,-5.6,2016,1,252.7,4.24917491749175
"2016K2",0.716666666666667,-3.1,5.86666666666667,5.96666666666667,-5.86666666666667,2016,2,254,3.88548057259714
"2016K3",0.35,-3.6,5.5,4.9,-5.4,2016,3,254.1,2.17129071170086
"2016K4",-2.86666666666667,-7.33333333333333,2.63333333333333,1.13333333333333,-7.9,2016,4,256.9,2.84227381905524
"2017K1",1.15833333333333,-2.5,4.53333333333333,7.63333333333333,-5.03333333333333,2017,1,259.3,2.61179263949347
"2017K2",1.9,-2.96666666666667,4.8,12.6666666666667,-6.9,2017,2,260.2,2.44094488188975
"2017K3",2.86666666666667,-4.46666666666667,7.06666666666667,15.2,-6.33333333333333,2017,3,260.6,2.55804801259347
"2017K4",3.04166666666667,-1.36666666666667,7.3,13.8333333333333,-7.6,2017,4,265.1,3.19190346438305
"2018K1",3.94166666666667,-1.06666666666667,6.2,17.1,-6.46666666666667,2018,1,269.6,3.97223293482454
"2018K2",4.13333333333333,-3.16666666666667,6.16666666666667,19.5333333333333,-6,2018,2,272.5,4.7271329746349
"2018K3",3.89166666666667,-2.46666666666667,7.43333333333333,15.6333333333333,-5.03333333333333,2018,3,271.6,4.22102839600922
"2018K4",0.0999999999999999,-5.73333333333333,5.26666666666667,8.63333333333333,-7.76666666666667,2018,4,270.8,2.15013202565069
"2019K1",0.325,-4.3,5.56666666666667,6.36666666666667,-6.33333333333333,2019,1,274,1.63204747774479
"2019K2",2.06666666666667,-1.56666666666667,9.2,8.03333333333333,-7.4,2019,2,274.4,0.697247706422011
"2019K3",2.80833333333333,-2.2,8.63333333333333,9.76666666666667,-4.96666666666667,2019,3,275.2,1.32547864506627
"2019K4",-0.325,-3.13333333333333,6.93333333333333,4.4,-9.5,2019,4,280.1,3.43426883308715
"2020K1",0.366666666666667,-3.63333333333333,6.6,6.4,-7.9,2020,1,272.9,-0.401459854014607
"2020K2",-11.8833333333333,-9.13333333333333,4.93333333333333,-30.9,-12.4333333333333,2020,2,262.5,-4.33673469387754
"2020K3",-10.4833333333333,-6.3,3.13333333333333,-29.3666666666667,-9.4,2020,3,274.1,-0.399709302325568
"2020K4",-9.04166666666667,-4.06666666666667,4.03333333333333,-29.6333333333333,-6.5,2020,4,280.3,0.0714030703320212
"2021K1",-8.56666666666667,-0.6,4.96666666666667,-33.4,-5.23333333333333,2021,1,270.1,-1.02601685599119
"2021K2",-3.16666666666667,2.9,6.06666666666667,-18.4,-3.23333333333333,2021,2,287.2,9.4095238095238
"2021K3",0.408333333333333,0.533333333333333,8.1,1.63333333333333,-8.63333333333333,2021,3,292.6,6.74936154688071
"2021K4",-3.51666666666667,-3.4,1.86666666666667,1.8,-14.3333333333333,2021,4,301,7.38494470210489
"2022K1",-7.88333333333333,-6.6,-0.0333333333333334,-9.9,-15,2022,1,280.8,3.96149574231766
"2022K2",-24.4333333333333,-14.7,-15.3333333333333,-36.3333333333333,-31.3666666666667,2022,2,284.1,-1.07938718662951
"2022K3",-32.4166666666667,-18.3333333333333,-24.0666666666667,-49.8,-37.4666666666667,2022,3,282.3,-3.52016404647983
"2022K4",-40.325,-24.8666666666667,-31.8,-60.2,-44.4333333333333,2022,4,278.5,-7.4750830564784
"2023K1",-34.1,-17.4333333333333,-28.1333333333333,-49.7333333333333,-41.1,2023,1,277.6,-1.13960113960113
"2023K2",-22.0333333333333,-8.5,-21.2,-25.9,-32.5333333333333,2023,2,274.6,-3.34389299542415
"2023K3",-17.3833333333333,-9.53333333333333,-16.3,-14.2666666666667,-29.4333333333333,2023,3,271.3,-3.89656393907191
"2023K4",-16.425,-10.0666666666667,-16.3,-13.4,-25.9333333333333,2023,4,273.6,-1.75942549371633
"2024K1",-11.425,-6.86666666666667,-10.6666666666667,-7.6,-20.5666666666667,2024,1,274.6,-1.0806916426513
"2024K2",-9.575,-5.66666666666667,-7.73333333333333,-6.33333333333333,-18.5666666666667,2024,2,276.7,0.764748725418785
"2024K3",-8.175,-5.1,-5.2,-7.3,-15.1,2024,3,277.8,2.39587172871361
"2024K4",-11.3416666666667,-6.4,-10.0666666666667,-13.1666666666667,-15.7333333333333,2024,4,278.8,1.90058479532162
"2025K1",-11.9166666666667,-6.96666666666667,-6.16666666666667,-19.3666666666667,-15.1666666666667,2025,1,281.4,2.47632920611798
"2025K2",-14.7833333333333,-8.13333333333333,-11.5666666666667,-25.7,-13.7333333333333,2025,2,281.7,1.80701120346947
"2025K3",-16.5333333333333,-9.66666666666667,-14.4666666666667,-25.7666666666667,-16.2333333333333,2025,3,282.1,1.54787616990641
"2025K4",-19.3,NA,NA,NA,NA,NA,NA,258.824914334791,-1.61143931967953
